depot;vehicle_id;vehicle_short_name;opd_date
D2;1932304;43020;15/01/2017
CD;1932306;43024;15/01/2017
HN;1932311;43034;15/01/2017
HN;1932313;43038;15/01/2017
SL;1932320;43052;15/01/2017
SL;1932322;43056;15/01/2017
CF;1932327;43066;15/01/2017
CF;1932329;43070;15/01/2017
D2;2172277;43081;15/01/2017
D2;2172282;43091;15/01/2017
D2;2172284;43095;15/01/2017
RD;2172291;43109;15/01/2017
D2;2172237;43082;15/01/2017
D2;2172238;43084;15/01/2017
D2;2172239;43086;15/01/2017
D2;2172240;43088;15/01/2017
D2;2172241;43090;15/01/2017
D2;2172242;43092;15/01/2017
D2;2172243;43094;15/01/2017
D2;2172244;43096;15/01/2017
D2;2172245;43098;15/01/2017
D2;2172246;43100;15/01/2017
RD;2172247;43102;15/01/2017
RD;2172248;43104;15/01/2017
RD;2172249;43106;15/01/2017
RD;2172250;43108;15/01/2017
RD;2172251;43110;15/01/2017
RD;2172252;43112;15/01/2017
CF;2172253;43114;15/01/2017
